,Household_ID,N_catg1,N_catg2,N_catg3,N_catg4,N_catg5,N_catg6,N_catg7,N_catg8,N_catg9,N_catg10,N_catg11,N_catg12,N_catg13,N_catg14,N_catg15,E_catg1,E_catg2,E_catg3,E_catg4,E_catg5,E_catg6,E_catg7,E_catg8,E_catg9,E_catg10,E_catg11,E_catg12,E_catg13,E_catg14,E_catg15,Household_Income,Age_Household_Head,Number_Of_Kids,Total_Number_Of_Transactions,Number_Of_Online_Purchase,Number_Of_Stores_Visited,Number_Of_Returns,Number_Of_Different_Categories
34,100064204,0,0,0,0,0,0,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,162.95,19.99,0,39.99,0,0,0,0,4,52,0,1,0,1,0,3
35,100066985,1,0,0,0,0,0,0,0,0,0,0,1,3,1,0,9.96,0,0,0,0,0,0,0,0,0,0,279.99,229.95,79.99,0,9,62,0,2,0,2,0,4
36,100074019,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,1,0,1,0,1
37,100075443,0,0,0,0,4,0,0,0,0,0,1,0,0,2,0,0,0,0,0,395.95,0,0,0,0,0,19.99,0,0,20.97,0,1,28,1,2,0,2,2,3
38,100076051,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,639.96,0,0,0,0,0,0,0,0,0,0,0,0,399.98,0,NA,NA,0,1,0,1,4,2
39,100077482,0,2,0,0,0,0,0,0,2,1,3,3,0,0,0,0,215.96,0,0,0,0,0,0,19.98,49,172.97,0,0,0,0,3,NA,0,1,0,1,10,5
40,100079960,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,292.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,40,2,1,0,1,0,1
41,100083318,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,138.97,0,0,0,0,0,0,0,0.01,0,0,2399.99,0,0,9,60,0,1,0,1,2,3
42,100083508,2,0,0,0,0,0,0,0,0,0,0,0,2,2,1,379.95,0,0,0,0,0,0,0,0,0,0,0,539.95,159.98,0,2,74,0,1,0,1,4,4
43,100087288,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129.99,0,NA,NA,0,1,0,1,0,1
44,100088881,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1829.94,0,0,9,46,1,1,0,1,0,1
45,100091925,2,0,0,0,8,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1136.89,0,0,0,25.98,0,75.99,0,0,9.99,0,6,32,1,2,0,2,1,5
46,100093723,2,0,0,0,0,0,0,0,0,0,2,0,2,0,0,44.98,0,0,0,0,0,0,0,0,0,49.98,0,399.98,0,0,6,78,0,2,0,2,0,3
47,100097378,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2405.98,0,0,4,78,0,1,0,1,0,2
48,100097834,2,0,0,0,0,0,0,0,0,0,1,0,2,2,1,153.78,0,0,0,0,0,0,0,0,0,89.99,0,119.97,199.98,174.99,9,52,2,1,0,1,0,5
49,100098260,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.99,0,1,50,0,1,0,1,0,1
50,100102194,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.97,0,0,0,0,1,80,0,1,0,1,0,1
51,100102766,0,0,0,0,0,0,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,16.99,308.95,0,3.99,0,0,0,0,0,6,42,0,1,0,1,2,3
52,100103916,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.99,0,3,76,0,1,0,1,0,1
53,100105857,0,0,0,0,0,0,0,0,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,187.97,0,14.99,0,144.99,6,40,0,2,0,2,0,3
54,100111828,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,48,0,1,0,1,0,1
55,100113698,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,2925.46,0,0,4,74,2,2,0,2,0,2
56,100113891,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,24.99,119.99,0,0,0,4,34,0,1,0,1,0,2
57,100116699,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,39.99,0,0,0,0,0,0,0,0,0,0,0,309.96,0,0,9,52,0,1,0,1,0,2
58,100129384,1,0,0,0,0,0,0,0,0,0,3,0,0,1,0,184.99,0,0,0,0,0,0,0,0,0,52.97,0,0,57.99,0,5,NA,0,2,0,2,0,3
59,100130357,0,0,0,0,0,0,0,0,0,1,2,1,5,3,0,0,0,0,0,0,0,0,0,0,39.99,0,99.99,1004.93,429.97,0,4,42,0,1,0,1,6,5
60,100130836,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,199.98,0,0,0,38.99,0,0,0,159.99,0,0,5,34,0,1,0,1,0,3
61,100137580,1,0,0,0,0,0,0,0,3,0,5,4,0,0,1,4.99,0,0,0,0,0,0,0,354.96,0,169.95,1049.96,0,0,0,1,52,0,1,0,1,0,5
62,100139260,1,0,0,0,0,1,0,0,0,0,2,3,1,0,1,59.95,0,0,0,0,0,0,0,0,0,69.95,819.97,0,0,40,8,46,1,1,0,1,4,6
63,100140592,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,46,0,1,0,1,0,1
64,100140728,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,56,0,1,0,1,0,1
65,100144604,0,0,0,0,2,0,0,1,0,0,3,0,1,0,0,0,0,0,0,1199.98,0,0,99.99,0,0,219.97,0,399.99,0,0,6,60,1,1,0,1,0,4
66,100145108,4,0,0,0,0,0,0,0,0,0,0,0,1,2,0,674.96,0,0,0,0,0,0,0,0,0,0,0,24.99,379.98,0,1,32,0,1,0,1,0,3
67,100147747,2,0,0,0,3,0,0,0,9,1,6,0,0,1,2,709.98,0,0,0,1054.98,0,0,0,429.86,0,416.43,0,0,237.49,69.98,9,44,2,7,10,3,0,7
68,100149433,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249.99,0,0,3,48,1,1,0,1,0,1
69,100155358,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,99.99,0,0,0,24.99,0,0,0,0,0,19.99,0,0,249.96,0,1,60,0,2,0,2,0,4
70,100162878,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,399.94,0,0,0,0,5,42,1,1,0,1,0,1
71,100164093,1,0,0,0,0,0,0,3,0,1,0,0,3,0,0,99.99,0,0,0,0,0,0,19.99,0,-5.56,0,0,559.98,0,0,9,56,0,3,0,3,2,4
72,100164162,0,0,0,0,2,0,7,0,4,1,8,4,0,0,0,0,0,0,0,364.96,0,696.02,0,289.96,0,129.43,1049.95,0,0,0,2,32,0,1,0,1,14,6
73,100165168,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,299.99,0,0,5,32,0,1,0,1,0,1
74,100165188,0,0,0,0,4,0,0,4,0,1,4,0,0,5,4,0,0,0,0,1359.97,0,0,607.95,0,0,265.96,0,0,821.95,439.93,9,40,0,2,0,2,0,6
75,100169588,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.99,0,0,9,62,0,1,0,1,0,1
